id,name,category,brand,price,rating,tags
1,Apple AirPods Pro 2nd Gen,Electronics,Apple,24999,4.8,"audio,wireless,earbuds,premium,apple,noise-cancelling"
2,Samsung Galaxy Buds2 Pro,Electronics,Samsung,11999,4.5,"audio,wireless,earbuds,premium,samsung"
3,Sony WH-1000XM5,Electronics,Sony,29990,4.9,"audio,headphones,noise-cancelling,premium,wireless"
4,boAt Rockerz 450,Electronics,boAt,1499,4.2,"audio,headphones,budget,wireless"
5,JBL Tune 760NC,Electronics,JBL,4999,4.3,"audio,headphones,wireless,budget,noise-cancelling"
6,Sennheiser Momentum 4,Electronics,Sennheiser,26990,4.7,"audio,headphones,premium,wireless,noise-cancelling"
7,boAt Airdopes 141,Electronics,boAt,999,4.1,"audio,earbuds,budget,wireless"
8,Jabra Elite 4,Electronics,Jabra,7999,4.4,"audio,earbuds,wireless,midrange"
9,iPhone 15 Pro Max,Electronics,Apple,159900,4.9,"smartphone,apple,premium,camera,5g"
10,iPhone 15,Electronics,Apple,79900,4.7,"smartphone,apple,midrange,camera,5g"
11,Samsung Galaxy S24 Ultra,Electronics,Samsung,129999,4.8,"smartphone,samsung,premium,camera,5g"
12,Samsung Galaxy A55,Electronics,Samsung,34999,4.5,"smartphone,samsung,midrange,5g"
13,OnePlus 12,Electronics,OnePlus,64999,4.7,"smartphone,oneplus,premium,android,5g"
14,OnePlus Nord CE4,Electronics,OnePlus,24999,4.4,"smartphone,oneplus,budget,android,5g"
15,Realme GT 6,Electronics,Realme,34999,4.5,"smartphone,realme,midrange,android,5g"
16,Redmi Note 13 Pro,Electronics,Xiaomi,24999,4.4,"smartphone,xiaomi,budget,android,5g"
17,iQOO Z9,Electronics,iQOO,19999,4.3,"smartphone,iqoo,budget,android,5g"
18,Google Pixel 8a,Electronics,Google,52999,4.6,"smartphone,google,midrange,camera,5g"
19,Nothing Phone 2a,Electronics,Nothing,23999,4.5,"smartphone,nothing,midrange,android,5g"
20,Motorola Edge 50 Pro,Electronics,Motorola,31999,4.4,"smartphone,motorola,midrange,android,5g"
21,Apple Watch Series 9,Electronics,Apple,41900,4.8,"smartwatch,fitness,premium,apple,health"
22,Apple Watch Ultra 2,Electronics,Apple,89900,4.9,"smartwatch,fitness,premium,apple,outdoor,health"
23,Samsung Galaxy Watch 6,Electronics,Samsung,26999,4.6,"smartwatch,fitness,premium,samsung,health"
24,Mi Smart Band 8 Pro,Electronics,Xiaomi,4999,4.4,"fitness,smartband,health,budget,xiaomi"
25,Garmin Forerunner 265,Electronics,Garmin,42990,4.7,"smartwatch,fitness,premium,running,health"
26,Fossil Gen 6 Hybrid,Electronics,Fossil,14995,4.3,"smartwatch,fashion,midrange"
27,Noise ColorFit Pro 5,Electronics,Noise,3999,4.2,"smartwatch,fitness,budget,health"
28,boAt Wave Sigma,Electronics,boAt,1799,4.0,"smartwatch,budget,fitness"
29,MacBook Air M3,Electronics,Apple,114900,4.9,"laptop,apple,premium,productivity,thin"
30,MacBook Pro M3 Pro,Electronics,Apple,199900,4.9,"laptop,apple,premium,productivity,professional"
31,Dell XPS 15,Electronics,Dell,149990,4.7,"laptop,dell,premium,productivity,professional"
32,HP Spectre x360,Electronics,HP,149999,4.6,"laptop,hp,premium,productivity,2-in-1"
33,Lenovo ThinkPad X1 Carbon,Electronics,Lenovo,134990,4.7,"laptop,lenovo,premium,productivity,business"
34,ASUS ROG Zephyrus G14,Electronics,ASUS,119990,4.8,"laptop,asus,gaming,premium"
35,Acer Nitro 5,Electronics,Acer,69990,4.4,"laptop,acer,gaming,midrange"
36,HP Pavilion 15,Electronics,HP,54990,4.3,"laptop,hp,midrange,productivity"
37,Lenovo IdeaPad Slim 5,Electronics,Lenovo,52990,4.4,"laptop,lenovo,midrange,productivity"
38,Realme Book Prime,Electronics,Realme,34999,4.2,"laptop,realme,budget,productivity"
39,Canon EOS R50,Electronics,Canon,75990,4.8,"camera,canon,mirrorless,photography,premium"
40,Sony Alpha ZV-E10,Electronics,Sony,57990,4.7,"camera,sony,mirrorless,photography,vlogging"
41,GoPro Hero 12 Black,Electronics,GoPro,35990,4.7,"camera,gopro,action,sports,premium,waterproof"
42,DJI Osmo Pocket 3,Electronics,DJI,34990,4.8,"camera,dji,vlogging,compact,premium"
43,Fujifilm Instax Mini 12,Electronics,Fujifilm,7999,4.5,"camera,fujifilm,instant,fun,casual"
44,Logitech MX Master 3S,Electronics,Logitech,9995,4.8,"mouse,logitech,productivity,wireless,premium"
45,Keychron K2 Pro,Electronics,Keychron,8499,4.7,"keyboard,mechanical,productivity,wireless"
46,LG 27UK850 4K Monitor,Electronics,LG,34990,4.6,"monitor,lg,4k,premium,productivity"
47,Dell UltraSharp 27,Electronics,Dell,32990,4.7,"monitor,dell,premium,productivity,professional"
48,JBL Flip 6,Electronics,JBL,11999,4.7,"audio,speaker,portable,wireless,waterproof"
49,Sony SRS-XB33,Electronics,Sony,9990,4.5,"audio,speaker,portable,wireless,bass"
50,Amazon Echo Dot 5th Gen,Electronics,Amazon,4999,4.3,"smart-home,speaker,alexa,budget"
51,Nike Air Max 270,Footwear,Nike,12995,4.6,"shoes,sports,running,premium,nike"
52,Nike React Infinity Run,Footwear,Nike,11995,4.7,"shoes,sports,running,premium,nike"
53,Adidas Ultraboost 22,Footwear,Adidas,16999,4.7,"shoes,sports,running,premium,adidas"
54,Adidas Stan Smith,Footwear,Adidas,8999,4.5,"shoes,casual,classic,adidas"
55,Puma Softride Premier,Footwear,Puma,5999,4.3,"shoes,sports,running,budget,puma"
56,New Balance 574,Footwear,New Balance,8495,4.6,"shoes,casual,classic,midrange"
57,Skechers Go Walk 6,Footwear,Skechers,4999,4.4,"shoes,casual,walking,comfort,budget"
58,Woodland Sneakers,Footwear,Woodland,3499,4.1,"shoes,casual,budget,durable"
59,Red Tape Formal Shoes,Footwear,Red Tape,2999,4.2,"shoes,formal,budget,leather"
60,Clarks Desert Boot,Footwear,Clarks,7999,4.5,"shoes,casual,premium,leather,classic"
61,Levi's 511 Slim Jeans,Fashion,Levi's,3999,4.5,"jeans,casual,fashion,mens,denim"
62,Levi's 501 Original,Fashion,Levi's,4499,4.6,"jeans,casual,classic,mens,denim"
63,H&M Oversized Hoodie,Fashion,H&M,1999,4.3,"hoodie,casual,fashion,unisex"
64,Zara Trench Coat,Fashion,Zara,7999,4.6,"coat,formal,fashion,premium,outerwear"
65,Allen Solly Formal Shirt,Fashion,Allen Solly,1299,4.2,"shirt,formal,fashion,mens,office"
66,Van Heusen Blazer,Fashion,Van Heusen,4999,4.4,"blazer,formal,fashion,mens,premium,office"
67,Peter England Chinos,Fashion,Peter England,1799,4.3,"pants,casual,fashion,mens"
68,Mango Floral Dress,Fashion,Mango,2999,4.4,"dress,casual,fashion,womens"
69,AND Formal Blazer Women,Fashion,AND,3999,4.3,"blazer,formal,fashion,womens,office"
70,W Kurta Set,Fashion,W,1499,4.5,"kurta,ethnic,fashion,womens,casual"
71,Fabindia Cotton Kurta,Fashion,Fabindia,1999,4.6,"kurta,ethnic,fashion,mens,casual,handloom"
72,Fastrack Casual Watch,Fashion,Fastrack,2499,4.3,"watch,casual,fashion,budget"
73,Titan Analog Watch,Fashion,Titan,3999,4.5,"watch,casual,classic,midrange"
74,Casio G-Shock,Fashion,Casio,5999,4.7,"watch,sports,durable,premium,classic"
75,Ray-Ban Aviator,Fashion,Ray-Ban,6990,4.7,"sunglasses,premium,classic,fashion"
76,Philips Air Fryer HD9200,Home,Philips,7999,4.6,"kitchen,cooking,home,appliance,healthy"
77,Instant Pot Duo 7-in-1,Home,Instant Pot,8999,4.7,"kitchen,cooking,home,appliance,pressure-cooker"
78,Prestige Induction Cooktop,Home,Prestige,2499,4.4,"kitchen,cooking,home,appliance,budget"
79,Morphy Richards OTG,Home,Morphy Richards,4999,4.5,"kitchen,baking,home,appliance,midrange"
80,Dyson V15 Detect,Home,Dyson,52900,4.8,"cleaning,home,appliance,premium,vacuum"
81,iRobot Roomba i3,Home,iRobot,24999,4.5,"cleaning,home,appliance,robot,smart-home"
82,Xiaomi Robot Vacuum S10,Home,Xiaomi,19999,4.4,"cleaning,home,appliance,robot,budget,smart-home"
83,Milton Water Bottle 1L,Home,Milton,499,4.3,"water-bottle,home,daily-use,budget"
84,Cello Stainless Steel Bottle,Home,Cello,799,4.4,"water-bottle,home,daily-use,budget,stainless"
85,IKEA Kallax Shelf,Furniture,IKEA,6999,4.5,"furniture,storage,home,minimalist,scandinavian"
86,IKEA LACK Side Table,Furniture,IKEA,1499,4.3,"furniture,table,home,minimalist,budget"
